Comuna_Origen;Especialidad_Destino;Rango_Edad;Establecimiento_Destino;CIE-10;Observacion;Tipo_Especialidad
El Tabo;Cirugía y Traumatología Buco Maxilofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
El Tabo;Endodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K04.9.;;Odontológica
El Tabo;Patología Oral;Toda edad;Hospital Carlos Van Buren;C06.9 Tumor maligno de la boca, parte no especificada.;Con biopsia confirmada o evidente signos clínicos de malignidad.;Odontológica
El Tabo;Patología Oral;Toda edad;Hospital Carlos Van Buren;C14.8 Lesion de sitios contiguos del labio, de la cavidad bucal y de faringe.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Tabo;Periodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K05.5 y Z75;;Odontológica
El Tabo;Rehabilitación Oral Fija;Toda edad;Hospital Claudio Vicuña;Todos.;Derivar con Rx retroalverolar;Odontológica
El Tabo;Rehabilitación Oral Removible;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
El Tabo;Trastornos Temporomandibulares y Dolor Orofacial;Toda edad;Hospital Claudio Vicuña;Todos.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
El Tabo;Endodoncia;Toda edad;Mismo establecimiento APS (R);K04.9 Otras enfermedades no especificadas de pulpa y tejidos periapicales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
El Tabo;Periodoncia;Toda edad;Mismo establecimiento APS (R);K05.5 Otras enfermedades periodontales;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
El Tabo;Rehabilitación Oral Removible;Toda edad;Mismo establecimiento APS (R);K08.8 Otros trastornos especificados de dientes y estructuras de soporte;Sólo para caso a resolver con cupos resolutividad APS.;Odontológica
San Antonio;Cirugía y Traumatología Buco Maxilofacial;Toda edad;Hospital Claudio Vicuña;Todos.;;Odontológica
San Antonio;Endodoncia;Toda edad;Hospital Claudio Vicuña;Todos. Excepto: K04.9.;;Odontológica
San Antonio;Patología Oral;Toda edad;Hospital Carlos Van Buren;C06.9 Tumor maligno de la boca, parte no especificada.;Con biopsia confirmada o evidente signos clínicos de malignidad.;Odontológica
San Antonio;Patología Oral;Toda edad;Hospital Carlos Van Buren;C14.8 Lesion de sitios contiguos del labio, de la cavidad bucal y de faringe.;Posterior a teleinterconsulta Hospital Digital.;Odontológica
